Nama Kapal,Tipe Kapal,Prediksi ETA,Jarak / Waktu,Arah / Kecepatan,Draught Saat Ini,Status Navigasi,Posisi Diterima,IMO / MMSI,Panggilan Sinyal,Bendera,Panjang / Lebar
YUAN BAO HAI,Bulk Carrier,-,-, ,23.1 m,-,49 days ago,9806902 / 563067600,9V5555,Singapore,362 / 65 m
YUAN QIAN HAI,Bulk Carrier,,, ,23.0 m,-,3 days ago,9806952 / 563101200,9V5563,Singapore,362 / 65 m
YUAN HE HAI,Bulk Carrier,,, ,23.0 m,-,4 days ago,9806873 / 563045200,9V5551,Singapore,362 / 65 m
YUAN HUA HAI,Bulk Carrier,-,-, ,23.0 m,-,22 days ago,9806940 / 563093200,9V5559,Singapore,362 / 65 m
PACIFIC PROSPERITY,Bulk Carrier,-,-, ,23.1 m,-,6 days ago,9807059 / 477184100,VRRJ9,Hong Kong,362 / 65 m
PACIFIC AUSPICE,Bulk Carrier,,, ,23.0 m,Under way,9 hours ago,9807061 / 477244800,VRRK3,Hong Kong,362 / 65 m
ORE SHANGHAI,Bulk Carrier,,, ,23.2 m,Under way,6 hours ago,9815214 / 477232900,VRRL6,Hong Kong,362 / 65 m
PACIFIC EXCELLENCE,Bulk Carrier,-,-, ,22.8 m,-,4 days ago,9807009 / 477286900,VRRI8,Hong Kong,362 / 65 m
ORE HONG KONG,Bulk Carrier,-,-, ,11.9 m,-,13 days ago,9815238 / 477162700,VRRK5,Hong Kong,362 / 65 m
ORE SHENZHEN,Bulk Carrier,,, ,23.1 m,-,10 days ago,9807695 / 477168700,VRRL2,Hong Kong,362 / 65 m
ORE GUANGZHOU,Bulk Carrier,-,-, ,23.1 m,-,5 days ago,9807700 / 477184800,VRRL3,Hong Kong,362 / 65 m
ORE TIANJIN,Bulk Carrier,-,-, ,23.1 m,-,2 days ago,9807023 / 477153600,VRRK6,Hong Kong,362 / 65 m
ORE ZHANJIANG,Bulk Carrier,-,-, ,23.2 m,-,22 days ago,9807750 / 477312500,VRRL8,Hong Kong,362 / 65 m
ORE DALIAN,Bulk Carrier,,, ,23.0 m,-,7 days ago,9807035 / 477202100,VRRK9,Hong Kong,362 / 65 m
ORE XIAMEN,Bulk Carrier,,, ,12.6 m,Under way,1 min ago,9807047 / 477237500,VRRL5,Hong Kong,362 / 65 m
PACIFIC CAREER,Bulk Carrier,,, ,23.0 m,-,13 days ago,9807748 / 477232700,VRRK2,Hong Kong,362 / 65 m
YUAN JIN HAI,Bulk Carrier,-,-, ,11.6 m,-,8 days ago,9806914 / 563072400,9V5556,Singapore,361 / 65 m
YUAN SHEN HAI,Bulk Carrier,-,-, ,23.0 m,-,13 days ago,9806926 / 563083300,9V5557,Singapore,362 / 65 m
PACIFIC FLOURISH,Bulk Carrier,-,-, ,22.9 m,-,46 hours ago,9807736 / 477176600,VRRJ7,Hong Kong,362 / 65 m
YUAN ZHEN HAI,Bulk Carrier,,, ,12.5 m,-,5 days ago,9532551 / 566587000,9V9120,Singapore,360 / 65 m
ORE HEBEI,Bulk Carrier,-,-, ,22.9 m,-,9 days ago,9532537 / 477510200,VRPG8,Hong Kong,360 / 65 m
YUAN JIAN HAI,Bulk Carrier,,, ,12.9 m,-,32 hours ago,9532587 / 563254000,9V9122,Singapore,360 / 65 m
PACIFIC MERCHANTS,Bulk Carrier,-,-, ,10.7 m,-,14 days ago,9532604 / 477178700,VROY9,Hong Kong,360 / 65 m
ORE DONGJIAKOU,Bulk Carrier,-,-, ,23.2 m,-,22 days ago,9532513 / 477510300,VRPG9,Hong Kong,360 / 65 m
ORE SHANDONG,Bulk Carrier,,, ,23.0 m,Under way,11 hours ago,9532549 / 477510500,VRPH3,Hong Kong,360 / 65 m
PACIFIC WARRIOR,Bulk Carrier,-,-, ,11.4 m,-,13 days ago,9532525 / 477178500,VROZ4,Hong Kong,360 / 65 m
ORE CHINA,Bulk Carrier,-,-, ,11.2 m,-,18 days ago,9522972 / 477510400,VRPH2,Hong Kong,360 / 65 m
ALMIRANTE TAMANDARE,Offshore Support Vessel,-,-, ,10.0 m,Restricted,1 hour ago,9919814 / 311001009,C6EV2,Bahamas,336 / 60 m
LIWA MAX,Bulk Carrier,-,-, ,11.5 m,-,5 days ago,9566514 / 538004889,V7ZP9,Marshall Islands,360 / 65 m
SOHAR MAX,Bulk Carrier,-,-, ,10.5 m,-,61 days ago,9565065 / 538004888,V7ZP8,Marshall Islands,360 / 65 m
SAHAM MAX,Bulk Carrier,,, ,14.3 m,-,10 days ago,9566526 / 538004900,V7ZR9,Marshall Islands,360 / 65 m
SHINAS MAX,Bulk Carrier,,, ,14.3 m,-,8 days ago,9566538 / 538004899,V7ZR8,Marshall Islands,360 / 65 m
